dataset,domain,model,coverage_90,coverage_80,sharpness_90,sharpness_80,winkler_90,winkler_80,pinball_loss,train_time_sec
electricity,Energy,quantile-forest,0.928,0.856,244.7004,185.5544,306.0097,252.2332,14.3575,0.686
electricity,Energy,conformal-regressor,0.932,0.856,325.0277,248.1832,365.8501,301.2997,13.2401,0.819
electricity,Energy,conformal-forecaster,0.9578,0.8735,310.9946,226.5702,342.0786,278.3218,14.4349,0.779
electricity,Energy,linear-regression,0.98,0.96,823.4391,669.099,849.8088,707.3885,20.2631,0.062
electricity,Energy,ridge-regression,0.98,0.96,825.0365,667.0104,850.5426,705.3474,20.6168,0.06
electricity,Energy,random-forest,0.97,0.942,293.9433,224.2133,325.7083,253.5052,12.395,0.204
electricity,Energy,gradient-boosting,0.932,0.856,325.0277,248.1832,365.8501,301.2997,13.2401,0.984
electricity,Energy,naive-forecast,0.724,0.618,768.2935,597.8211,1435.8435,1214.9228,58.9326,0.0
electricity,Energy,moving-average,0.718,0.564,717.4348,558.2471,1366.5888,1163.8284,57.2529,0.002
weather,Climate,quantile-forest,0.764,0.718,0.0151,0.012,0.0809,0.0484,0.0036,0.049
weather,Climate,conformal-regressor,0.37,0.244,0.0322,0.0268,0.1025,0.0818,0.0031,0.059
weather,Climate,conformal-forecaster,0.5402,0.2952,0.0301,0.0257,0.0701,0.0657,0.0027,0.054
weather,Climate,linear-regression,0.934,0.904,0.0636,0.061,0.0685,0.0647,0.0045,0.007
weather,Climate,ridge-regression,0.816,0.75,0.0609,0.0585,0.0815,0.0725,0.0048,0.006
weather,Climate,random-forest,0.446,0.202,0.0374,0.032,0.0585,0.0668,0.0034,0.066
weather,Climate,gradient-boosting,0.37,0.244,0.0322,0.0268,0.1025,0.0818,0.0031,0.055
weather,Climate,naive-forecast,0.298,0.286,0.0314,0.0244,0.4382,0.2525,0.0048,0.0
weather,Climate,moving-average,0.28,0.222,0.0251,0.0195,0.4859,0.2709,0.0045,0.002
exchange_rate,Finance,quantile-forest,0.778,0.728,0.0681,0.0548,0.6894,0.3802,0.03,0.03
exchange_rate,Finance,conformal-regressor,0.958,0.862,0.5986,0.5239,0.6145,0.5568,0.0505,0.029
exchange_rate,Finance,conformal-forecaster,0.8795,0.753,0.3262,0.2974,0.3613,0.3328,0.0281,0.029
exchange_rate,Finance,linear-regression,0.492,0.42,0.3522,0.3054,0.9911,0.6909,0.0335,0.004
exchange_rate,Finance,ridge-regression,0.54,0.464,0.3833,0.336,0.9315,0.6826,0.0356,0.004
exchange_rate,Finance,random-forest,0.982,0.96,0.5559,0.4605,0.5665,0.4819,0.0441,0.055
exchange_rate,Finance,gradient-boosting,0.958,0.862,0.5986,0.5239,0.6145,0.5568,0.0505,0.028
exchange_rate,Finance,naive-forecast,0.038,0.038,0.1779,0.1384,8.1133,4.296,0.0572,0.0
exchange_rate,Finance,moving-average,0.038,0.038,0.1411,0.1098,8.3211,4.3504,0.0548,0.002
